විතතිය $e$ සහ ප්‍රත්‍යාස්ථ නියතය $k$ ඇසුරින් ප්‍රත්‍යාස්ථ විභව ශක්තිය ($W$) සොයන සූත්‍රය කුමක්ද?,$W = \frac{1}{2} ke^2$
බලය $F$ සහ විතතිය $e$ ඇසුරින් ප්‍රත්‍යාස්ථ විභව ශක්තිය ($W$) සොයන සූත්‍රය කුමක්ද?,$W = \frac{1}{2} Fe$
බලය $F$ සහ ප්‍රත්‍යාස්ථ නියතය $k$ ඇසුරින් ප්‍රත්‍යාස්ථ විභව ශක්තිය ($W$) සොයන සූත්‍රය කුමක්ද?,$W = \frac{1}{2} \frac{F^2}{k}$
බල-විතති ($F-e$) ප්‍රස්ථාරයක අනුක්‍රමණයෙන් ලැබෙන්නේ කුමක්ද?,ප්‍රත්‍යාස්ථ නියතය ($k$).
බල-විතති ($F-e$) ප්‍රස්ථාරයක වර්ගඵලයෙන් ලැබෙන්නේ කුමක්ද?,ගබඩා වන ප්‍රත්‍යාස්ථ විභව ශක්තිය ($E_p$).
නිදහසේ වැටෙන වස්තුවක උස ($h$) සමග මුළු ශක්තිය වෙනස් වන ආකාරය ප්‍රස්ථාරිකව කෙබඳුද?,$h$ අක්ෂයට සමාන්තර තිරස් සරල රේඛාවකි.
නිදහසේ වැටෙන වස්තුවක උස ($h$) සමග විභව ශක්තිය ($E_p$) වෙනස් වන ආකාරය කෙබඳුද?,"මූල ලක්ෂ්‍යය හරහා යන, ධන අනුක්‍රමණයක් සහිත සරල රේඛාවකි."
නිදහසේ වැටෙන වස්තුවක උස ($h$) සමග චාලක ශක්තිය ($E_k$) වෙනස් වන ආකාරය කෙබඳුද?,සෘණ අනුක්‍රමණයක් සහිත සරල රේඛාවකි (උස වැඩිවත්ම චාලක ශක්තිය අඩු වේ).
නිදහසේ වැටෙන වස්තුවක කාලය ($t$) සමග විභව ශක්තිය ($E_p$) වෙනස් වීමේ ප්‍රස්ථාරයේ හැඩය කුමක්ද?,පරාවලයික හැඩයකි (යටට නෙරූ).
නිදහසේ වැටෙන වස්තුවක කාලය ($t$) සමග චාලක ශක්තිය ($E_k$) වෙනස් වීමේ ප්‍රස්ථාරයේ හැඩය කුමක්ද?,මූල ලක්ෂ්‍යයෙන් ආරම්භ වන ඉහළට විවෘත පරාවලයික හැඩයකි.
ක්ෂමතාව යනු කුමක්ද?,කාර්යය කිරීමේ සීඝ්‍රතාවයි.
ක්ෂමතාව ($P$) සෙවීමේ මූලික සූත්‍රය කුමක්ද?,$P = \frac{E}{t}$
ක්ෂමතාව මැනීමේ ඒකක මොනවාද?,"$Js^{-1}$, $W$ (වොට්) හෝ $HP$ (අශ්ව බල)."
වස්තුවක් නියත ප්‍රවේගයෙන් චලනය වන විට ක්ෂමතාව ($P$) සෙවිය හැකි සූත්‍රය කුමක්ද?,$P = Fv$
$P = Fv$ සූත්‍රය භාවිතා කළ හැක්කේ කුමන අවස්ථාවකදීද?,වස්තුවක ත්වරණය ශුන්‍ය වන (නියත ප්‍රවේගයෙන් චලනය වන) අවස්ථාවකදීය.
කාර්යක්ෂමතාව ($\eta$) අර්ථ දක්වන්නේ කෙසේද?,ප්‍රතිදාන ශක්තිය (හෝ කාර්යය) සහ ආදාන ශක්තිය අතර අනුපාතය ප්‍රතිශතයක් ලෙසයි.
කාර්යය ඇසුරින් කාර්යක්ෂමතාව ($\eta$) සෙවීමේ සූත්‍රය කුමක්ද?,$\eta = \frac{\text{ප්‍රයෝජනවත් කාර්යය}}{\text{ලබාදුන් ශක්තිය}} \times 100\%$
ක්ෂමතාව ඇසුරින් කාර්යක්ෂමතාව ($\eta$) සෙවීමේ සූත්‍රය කුමක්ද?,$\eta = \frac{\text{ප්‍රතිදාන ක්ෂමතාව}}{\text{ආදාන ක්ෂමතාව}} \times 100\%$
ශක්ති හානියක් සිදු නොවන පද්ධතියක කාර්යක්ෂමතාව කොපමණද?,$100\%$ කි.
ප්‍රත්‍යාස්ථ සීමාව තුළ $F = -ke$ සමීකරණයේ සෘණ ලකුණෙන් අදහස් වන්නේ කුමක්ද?,ප්‍රත්‍යාස්ථ බලය සැමවිටම විතතිය සිදු වූ දිශාවට විරුද්ධ දිශාවට ක්‍රියා කරන බවයි.
ගුරුත්වාකර්ෂණ විභව ශක්තිය රඳා පවතින සාධක 3 මොනවාද?,"ස්කන්ධය ($m$), ගුරුත්වාකර්ෂණ ත්වරණය ($g$) සහ සිරස් උස ($h$)."
වස්තුවක් මත කාර්යයක් කිරීමට නම් අනිවාර්යයෙන්ම සිදුවිය යුත්තේ කුමක්ද?,බලයක් යෙදිය යුතු අතර එම බලය යෙදූ දිශාවට යම් විස්ථාපනයක් සිදුවිය යුතුය.
ප්‍රවේගය දෙගුණ කළ විට වස්තුවක චාලක ශක්තියට කුමක් සිදු වේද?,එය 4 ගුණයකින් වැඩි වේ ($E_k \propto v^2$).
උස මට්ටම $H$ සිට $h$ දක්වා නිදහසේ වැටෙන වස්තුවක ඕනෑම මොහොතක මුළු ශක්තිය කෙබඳුද?,එය සැමවිටම $mgH$ අගයට සමාන නියතයකි.
"කාර්යය, ශක්තිය සහ ක්ෂමතාව යන තුනෙන් දෛශික රාශිය කුමක්ද?",මේ කිසිවක් දෛශික රාශි නොවේ (සියල්ල අදිශ රාශි වේ).
වස්තුවක් පොළොවට පතිත වන මොහොතේ එහි විභව ශක්තිය කොපමණද?,ශුන්‍යයකි ($0$).
යම් යන්ත්‍රයක කාර්යක්ෂමතාව $100\%$ ට වඩා අඩු වීමට ප්‍රධාන හේතුව කුමක්ද?,ඝර්ෂණය හෝ වෙනත් ආකාරවලින් ශක්තිය හානි වීමයි.
